city,AQI,PM2.5/1h,PM2.5/10h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
商丘,221,170,159,1.34,32,38,64,6
武威,188,67,323,0.3,17,77,111,3
金昌,150,23,248,0.43,3,107,109,3
郑州,143,33,128,0.71,21,180,206,4
石家庄,141,46,116,0.68,15,180,203,18
保定,141,45,97,0.5,15,179,203,10
晋城,141,42,139,0.62,20,224,204,14
松原,139,45,226,0.35,11,103,104,3
长治,136,33,79,0.84,8,190,198,8
邢台,135,42,92,0.8,18,164,197,14
