city,AQI,PM2.5/1h,PM2.5/10h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
朔州,93,15,21,0.3,6,193,140,4
四平,44,9,31,0.23,15,103,87,4
松原,63,9,20,0.45,10,127,114,3
绥化,39,5,12,0.4,7,103,76,5
遂宁,47,30,42,0.4,7,138,92,8
随州,84,14,39,0.4,3,182,139,9
宿迁,83,28,76,0.54,14,159,138,7
苏州,112,21,51,0.25,15,203,172,9
宿州,91,18,68,0.37,7,173,147,5
塔城地区,21,6,0,0.6,7,66,31,3
泰安,128,40,124,0.45,16,249,189,17
太仓,150,60,100,0.55,28,299,212,9
太原,62,14,37,0.46,14,168,107,8
台州,103,35,74,0.5,12,203,149,6
泰州,141,32,72,0.53,16,248,204,11
唐山,140,46,94,0.85,33,278,171,23
天津,112,58,93,1.03,29,222,138,21
天水,68,12,36,0.37,4,141,120,6
铁岭,81,16,59,0.28,13,157,136,7
铜川,72,23,53,0.23,10,160,125,6
通化,44,9,30,0.7,11,103,86,4
通辽,52,14,51,0.23,25,114,91,8
铜陵,84,43,77,0.6,13,166,139,16
铜仁地区,42,9,27,0.35,9,133,73,4
吐鲁番地区,123,75,193,0.45,13,107,88,6
瓦房店,0,0,0,0.0,0,0,0,0
潍坊,154,50,127,0.63,23,297,218,23
威海,121,22,71,0.43,17,217,181,7
渭南,59,13,57,0.28,8,165,109,6
文登,115,34,79,0.8,11,228,175,12
文山州,38,19,37,0.6,11,104,72,4
温州,67,27,54,0.38,16,172,117,8
乌海,69,14,58,0.6,10,172,121,16
武汉,115,34,82,0.7,19,227,136,8
芜湖,107,25,59,0.57,20,207,166,11
吴江,92,13,57,0.53,12,166,149,8
五家渠,41,4,9,0.5,8,77,80,5
乌兰察布,78,7,20,0.35,7,181,132,16
乌鲁木齐,37,7,15,0.5,13,74,73,4
武威,50,16,49,0.4,5,150,92,4
无锡,126,33,84,0.53,15,229,187,11
吴忠,57,17,57,0.5,12,135,107,6
梧州,54,30,56,0.88,13,87,39,9
厦门,53,34,53,0.6,13,137,95,5
西安,53,16,53,0.36,9,151,93,4
湘潭,74,38,72,0.6,10,178,119,8
湘西州,47,21,46,0.23,4,118,69,8
襄阳,88,20,66,0.48,9,189,140,9
咸宁,88,20,50,0.4,5,176,144,6
咸阳,68,27,83,0.65,20,146,101,7
孝感,111,42,81,0.25,9,219,138,7
锡林郭勒盟,48,3,21,0.1,5,122,95,3
兴安盟,48,10,25,0.6,10,121,94,5
邢台,94,57,109,0.5,10,194,149,15
西宁,53,25,37,0.63,10,140,102,16
新乡,82,9,32,0.43,12,178,137,17
信阳,102,27,48,0.3,2,185,161,6
新余,57,37,62,0.7,7,111,86,12
忻州,70,5,29,0.4,14,175,119,12
西双版纳州,45,23,44,0.45,7,122,68,6
宣城,66,20,39,0.33,13,138,117,5
许昌,112,15,49,0.5,16,185,172,6
徐州,105,41,89,0.33,11,196,164,18
雅安,67,48,69,0.55,10,158,87,10
延安,54,12,36,0.35,10,161,103,5
延边州,50,7,23,0.37,5,115,98,4
盐城,101,38,93,0.52,11,179,160,7
阳江,36,11,13,0.53,5,74,70,5
阳泉,81,7,14,0.33,6,183,136,6
扬州,85,29,85,0.42,21,169,140,12
烟台,124,32,82,0.48,23,235,185,9
宜宾,74,30,49,0.54,14,178,115,34
宜昌,78,19,59,0.44,20,181,116,10
宜春,59,35,66,0.83,11,134,93,15
伊春,26,6,11,0.33,6,58,51,4
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,37,5,13,0.5,10,99,72,6
银川,56,16,59,0.37,13,133,96,18
营口,109,25,45,0.45,17,215,150,10
鹰潭,73,28,74,0.48,9,174,126,23
义乌,56,22,44,0.4,11,136,106,6
宜兴,66,31,65,0.45,8,148,117,10
益阳,73,23,50,0.88,13,177,115,6
永州,55,27,58,0.38,23,128,92,6
岳阳,103,41,81,0.86,10,203,145,10
玉林,56,36,59,0.67,6,113,71,7
榆林,63,26,73,0.89,38,87,69,17
运城,84,18,38,0.3,8,174,139,3
云浮,61,42,69,0.8,26,29,18,33
玉树州,52,6,13,0.4,3,114,101,8
玉溪,68,34,52,0.6,11,152,120,7
枣庄,111,35,88,0.45,11,201,171,17
张家港,127,42,83,0.7,15,252,182,13
张家界,46,15,35,0.35,7,129,90,2
张家口,61,8,42,0.76,7,164,111,7
章丘,127,42,118,0.5,13,219,188,17
张掖,59,20,30,0.15,4,147,109,6
漳州,54,37,56,0.68,24,88,83,9
湛江,47,30,46,0.78,9,139,89,6
肇庆,48,33,43,1.0,27,55,35,8
昭通,51,9,31,0.35,7,141,100,8
招远,0,0,0,0.0,0,0,0,0
